City-State,Population,Population Density
ANCRAMDALE-NY,775.0,37.0
ANDALE-KS,1676.0,71.0
ANDALUSIA-AL,19914.0,42.5
ANDALUSIA-IL,1284.0,454.0
ANDERSON ISLAND-WA,1037.0,134.0
ANDERSON-AK,226.0,7.0
ANDERSON-AL,2252.0,47.0
ANDERSON-CA,22841.0,176.0
ANDERSON-IN,79310.0,1003.4
ANDERSON-MO,5879.0,50.0
ANDERSON-SC,93613.0,447.75
ANDERSON-TX,2534.0,13.0
ANDERSONVILLE-GA,867.0,15.0
ANDERSONVILLE-TN,4559.0,105.0
ANDES-NY,1162.0,13.0
ANDOVER-CT,3297.0,213.0
ANDOVER-IA,108.0,170.0
ANDOVER-KS,13764.0,373.0
ANDOVER-MA,33201.0,1076.0
ANDOVER-ME,640.0,5.0
ANDOVER-MN,45967.0,665.0
ANDOVER-NH,2159.0,56.0
ANDOVER-NJ,9193.0,212.0
ANDOVER-NY,2269.0,33.0
ANDOVER-OH,4676.0,70.0
ANDOVER-SD,235.0,2.0
ANDREAS-PA,1304.0,61.0
ANDREW-IA,434.0,1628.0
ANDREWS-IN,2304.0,51.0
ANDREWS-NC,5354.0,85.0
ANDREWS-SC,11060.0,36.0
ANDREWS-TX,14786.0,19.0
ANETA-ND,474.0,2.0
ANGEL FIRE-NM,1768.0,11.0
ANGELA-MT,31.0,0.0
ANGELICA-NY,1535.0,30.0
ANGELS CAMP-CA,5292.0,35.0
ANGELUS OAKS-CA,535.0,5.0
ANGIE-LA,6342.0,52.0
ANGIER-NC,17571.0,287.0
ANGLETON-TX,30309.0,148.0
ANGOLA-IN,18029.0,154.0
ANGOLA-LA,479.0,20.0
ANGOLA-NY,9858.0,381.0
ANGOON-AK,479.0,1.0
ANGORA-MN,701.0,5.0
ANGUILLA-MS,1230.0,10.0
ANGWIN-CA,3661.0,210.0
ANIAK-AK,726.0,0.0
ANIMAS-NM,882.0,1.0
ANITA-IA,1407.0,15.0
ANITA-PA,412.0,330.0
ANIWA-WI,1068.0,24.0
ANKENY-IA,49581.0,1051.5
ANMOORE-WV,602.0,529.0
ANN ARBOR-MI,151441.0,1990.75
ANNA MARIA-FL,1503.0,1957.0
ANNA-IL,7276.0,119.0
ANNA-OH,4280.0,85.0
ANNA-TX,11831.0,147.0
ANNABELLA-UT,735.0,20.0
ANNADA-MO,125.0,4.0
ANNANDALE-MN,7107.0,99.0
ANNANDALE-NJ,8551.0,524.0
ANNANDALE-VA,55990.0,4501.0
ANNAPOLIS-CA,401.0,5.0
ANNAPOLIS-IL,421.0,13.0
ANNAPOLIS-MD,86889.0,1785.0
ANNAPOLIS-MO,1619.0,8.0
ANNAWAN-IL,1258.0,22.0
ANNISTON-AL,52019.0,417.75
ANNISTON-MO,226.0,469.0
ANNONA-TX,808.0,10.0
ANNVILLE-KY,2905.0,61.0
ANNVILLE-PA,11720.0,247.0
ANOKA-MN,46352.0,735.0
ANSELMO-NE,534.0,1.0
ANSLEY-NE,911.0,5.0
ANSON-ME,2136.0,34.0
ANSON-TX,3528.0,18.0
ANSONIA-CT,19237.0,3203.0
ANSONIA-OH,2223.0,70.0
ANSONVILLE-NC,611.0,465.0
ANSTED-WV,1902.0,101.0
ANTELOPE-CA,45048.0,6986.0
ANTELOPE-MT,125.0,1.0
ANTELOPE-OR,229.0,1.0
ANTHON-IA,1033.0,13.0
ANTHONY-FL,4109.0,139.0
ANTHONY-KS,2626.0,11.0
ANTHONY-NM,18421.0,23.0
ANTHONY-TX,7142.0,626.0
ANTIGO-WI,13238.0,62.0
ANTIMONY-UT,201.0,1.0
ANTIOCH-CA,102729.0,3739.0
ANTIOCH-IL,24299.0,745.0
ANTIOCH-TN,78406.0,1951.0
ANTLER-ND,211.0,2.0
ANTLERS-OK,6048.0,28.0
ANTOINE-AR,129.0,62.0
ANTON CHICO-NM,753.0,3.0
ANTON-CO,154.0,1.0
ANTON-TX,1571.0,12.0
ANTONITO-CO,2267.0,3.0
ANTRIM-NH,2692.0,74.0
ANTWERP-NY,1719.0,43.0
ANTWERP-OH,3530.0,64.0
ANVIK-AK,85.0,12.0
ANZA-CA,4734.0,36.0
APACHE JUNCTION-AZ,49387.0,1029.5
APACHE-OK,3718.0,21.0
APALACHICOLA-FL,3858.0,97.0
APALACHIN-NY,8153.0,247.0
APEX-NC,59075.0,637.3333333333334
APISON-TN,3730.0,227.0
APLINGTON-IA,1850.0,26.0
APOLLO BEACH-FL,14117.0,897.0
APOLLO-PA,13933.0,233.0
APOPKA-FL,87976.0,805.0
APPALACHIA-VA,2939.0,44.0
APPLE CREEK-OH,7819.0,186.0
APPLE GROVE-WV,1034.0,48.0
APPLE RIVER-IL,1179.0,30.0
APPLE SPRINGS-TX,1070.0,9.0
APPLE VALLEY-CA,77467.0,324.5
APPLEGATE-CA,897.0,202.0
APPLEGATE-MI,1439.0,43.0
APPLETON CITY-MO,1859.0,15.0
APPLETON-MN,2066.0,11.0
APPLETON-NY,1467.0,60.0
APPLETON-WA,200.0,4.0
APPLETON-WI,116633.0,1969.25
APPLING-GA,6321.0,48.0
APPOMATTOX-VA,9213.0,47.0
APTOS-CA,23974.0,682.0
APULIA STATION-NY,150.0,321.0
AQUASCO-MD,919.0,52.0
AQUILLA-TX,1015.0,19.0
ARAB-AL,16778.0,226.0
ARABI-GA,1263.0,26.0
ARABI-LA,3635.0,2079.0
ARAGON-GA,4708.0,123.0
ARAGON-NM,161.0,1.0
ARANSAS PASS-TX,11949.0,244.0
ARAPAHO-OK,1194.0,10.0
ARAPAHOE-CO,238.0,1.0
ARAPAHOE-NC,1502.0,72.0
ARAPAHOE-NE,1336.0,8.0
ARAPAHOE-WY,423.0,19.0
ARARAT-NC,2162.0,102.0
ARARAT-VA,2715.0,49.0
ARBELA-MO,513.0,6.0
ARBOLES-CO,270.0,6.0
ARBON-ID,137.0,1.0
ARBOVALE-WV,590.0,12.0
ARBUCKLE-CA,4685.0,26.0
ARBYRD-MO,970.0,26.0
ARCADE-NY,5672.0,77.0
ARCADIA-CA,65810.0,5576.5
ARCADIA-FL,34670.0,57.5
ARCADIA-IA,761.0,19.0
ARCADIA-IN,3308.0,89.0
ARCADIA-KS,610.0,12.0
ARCADIA-LA,4531.0,37.0
ARCADIA-MI,680.0,29.0
ARCADIA-MO,1228.0,19.0
ARCADIA-NE,596.0,4.0
ARCADIA-OH,1202.0,59.0
ARCADIA-OK,2178.0,53.0
ARCADIA-PA,151.0,93.0
ARCADIA-SC,530.0,976.0
ARCADIA-WI,5152.0,33.0
ARCANUM-OH,7300.0,86.0
ARCATA-CA,20199.0,378.0
ARCH CAPE-OR,205.0,33.0
